Outcome,Term,Coef,SE,t,p,type
bodyfat_w6.5,st_totalz_w3,"0.86 [0.33, 1.38]",0.27,3.21,0.001,adjusted
bodyfat_w6.5,female,"1.61 [0.5, 2.73]",0.57,2.84,0.005,adjusted
bodyfat_w6.5,indig,"0.16 [-3.98, 4.29]",2.11,0.07,0.94,adjusted
bodyfat_w6.5,ses_w6,"-0.88 [-1.38, -0.38]",0.25,-3.49,< 0.001,adjusted
bodyfat_w6.5,bad_diet,"1.98 [-0.19, 4.14]",1.1,1.79,0.074,adjusted
bodyfat_w6.5,sexualmaturity_numeric_w6.5,"-0.04 [-0.58, 0.5]",0.27,-0.16,0.88,adjusted
bodyfat_w6.5,accmvpa_w6.5_scaled,"-2.35 [-2.98, -1.71]",0.32,-7.23,< 0.001,adjusted
bodyfat_w6.5,accsed_w6.5_scaled,"-0.24 [-0.85, 0.36]",0.31,-0.78,0.43,adjusted
bpsysamp_w6.5,(Intercept),"15.18 [14.36, 16]",0.42,36.19,< 0.001,unadjusted
bpsysamp_w6.5,st_totalz_w3,"-0.05 [-0.22, 0.12]",0.08,-0.58,0.56,unadjusted
bpsysamp_w6.5,female,"-0.89 [-1.23, -0.56]",0.17,-5.28,< 0.001,unadjusted
bpsysamp_w6.5,indig,"-0.24 [-1.35, 0.87]",0.57,-0.43,0.67,unadjusted
bpsysamp_w6.5,ses_w6,"-0.06 [-0.21, 0.1]",0.08,-0.71,0.48,unadjusted
bpsysamp_w6.5,bad_diet,"-0.19 [-0.93, 0.55]",0.38,-0.49,0.62,unadjusted
bpsysamp_w6.5,sexualmaturity_numeric_w6.5,"0.38 [0.21, 0.54]",0.08,4.52,< 0.001,unadjusted
bpsysamp_w6.5,(Intercept),"14.7 [13.74, 15.66]",0.49,30.15,< 0.001,adjusted
bpsysamp_w6.5,st_totalz_w3,"-0.03 [-0.23, 0.16]",0.1,-0.34,0.73,adjusted
bpsysamp_w6.5,female,"-0.66 [-1.09, -0.24]",0.22,-3.08,0.002,adjusted
bpsysamp_w6.5,indig,"-0.27 [-1.84, 1.31]",0.8,-0.33,0.74,adjusted
bpsysamp_w6.5,ses_w6,"-0.02 [-0.21, 0.17]",0.1,-0.21,0.84,adjusted
bpsysamp_w6.5,bad_diet,"0.29 [-0.55, 1.12]",0.43,0.67,0.50,adjusted
bpsysamp_w6.5,sexualmaturity_numeric_w6.5,"0.37 [0.17, 0.58]",0.1,3.56,< 0.001,adjusted
bpsysamp_w6.5,accmvpa_w6.5_scaled,"0.26 [0.01, 0.5]",0.13,2.06,0.040,adjusted
bpsysamp_w6.5,accsed_w6.5_scaled,"-0.02 [-0.26, 0.21]",0.12,-0.21,0.83,adjusted
pulsepressamp_w6.5,(Intercept),"1.35 [1.27, 1.43]",0.04,32.64,< 0.001,unadjusted
pulsepressamp_w6.5,st_totalz_w3,"0 [-0.02, 0.01]",0.01,-0.29,0.77,unadjusted
pulsepressamp_w6.5,female,"-0.01 [-0.04, 0.03]",0.02,-0.38,0.71,unadjusted
pulsepressamp_w6.5,indig,"-0.04 [-0.15, 0.07]",0.06,-0.72,0.47,unadjusted
pulsepressamp_w6.5,ses_w6,"0.02 [0, 0.03]",0.01,2.27,0.023,unadjusted
pulsepressamp_w6.5,bad_diet,"0 [-0.07, 0.07]",0.04,-0.03,0.98,unadjusted
pulsepressamp_w6.5,sexualmaturity_numeric_w6.5,"0.02 [0.01, 0.04]",0.01,2.69,0.007,unadjusted
pulsepressamp_w6.5,(Intercept),"1.25 [1.15, 1.34]",0.05,25.58,< 0.001,adjusted
pulsepressamp_w6.5,st_totalz_w3,"0 [-0.02, 0.02]",0.01,0.17,0.86,adjusted
pulsepressamp_w6.5,female,"0.02 [-0.03, 0.06]",0.02,0.77,0.44,adjusted
pulsepressamp_w6.5,indig,"-0.04 [-0.2, 0.12]",0.08,-0.51,0.61,adjusted
pulsepressamp_w6.5,ses_w6,"0.02 [0, 0.04]",0.01,1.79,0.074,adjusted
pulsepressamp_w6.5,bad_diet,"0.07 [-0.01, 0.15]",0.04,1.67,0.095,adjusted
pulsepressamp_w6.5,sexualmaturity_numeric_w6.5,"0.03 [0.01, 0.05]",0.01,2.95,0.003,adjusted
pulsepressamp_w6.5,accmvpa_w6.5_scaled,"0.02 [0, 0.05]",0.01,1.86,0.063,adjusted
pulsepressamp_w6.5,accsed_w6.5_scaled,"0 [-0.02, 0.03]",0.01,0.35,0.73,adjusted
bpsysz_w6.5,(Intercept),"-0.04 [-0.25, 0.16]",0.1,-0.43,0.67,unadjusted
bpsysz_w6.5,st_totalz_w3,"0.02 [-0.02, 0.06]",0.02,0.89,0.37,unadjusted
bpsysz_w6.5,female,"0.15 [0.07, 0.24]",0.04,3.66,< 0.001,unadjusted
bpsysz_w6.5,indig,"0 [-0.28, 0.28]",0.14,0,1.00,unadjusted
bpsysz_w6.5,ses_w6,"-0.06 [-0.1, -0.02]",0.02,-3.15,0.002,unadjusted
bpsysz_w6.5,bad_diet,"0.07 [-0.11, 0.25]",0.09,0.73,0.47,unadjusted
bpsysz_w6.5,sexualmaturity_numeric_w6.5,"0.01 [-0.03, 0.05]",0.02,0.31,0.76,unadjusted
bpsysz_w6.5,(Intercept),"-0.13 [-0.37, 0.11]",0.12,-1.06,0.29,adjusted
bpsysz_w6.5,st_totalz_w3,"0.01 [-0.04, 0.06]",0.03,0.5,0.62,adjusted
bpsysz_w6.5,female,"0.19 [0.08, 0.3]",0.05,3.53,< 0.001,adjusted
bpsysz_w6.5,indig,"-0.15 [-0.55, 0.24]",0.2,-0.76,0.45,adjusted
bpsysz_w6.5,ses_w6,"-0.06 [-0.11, -0.01]",0.02,-2.38,0.017,adjusted
bpsysz_w6.5,bad_diet,"0.19 [-0.02, 0.4]",0.11,1.81,0.070,adjusted
bpsysz_w6.5,sexualmaturity_numeric_w6.5,"-0.01 [-0.07, 0.04]",0.03,-0.57,0.57,adjusted
bpsysz_w6.5,accmvpa_w6.5_scaled,"0 [-0.06, 0.06]",0.03,-0.01,0.99,adjusted
bpsysz_w6.5,accsed_w6.5_scaled,"0.02 [-0.04, 0.08]",0.03,0.68,0.49,adjusted
bpdiaz_w6.5,(Intercept),"0.04 [-0.1, 0.19]",0.07,0.56,0.58,unadjusted
bpdiaz_w6.5,st_totalz_w3,"0.02 [-0.01, 0.05]",0.02,1.62,0.10,unadjusted
bpdiaz_w6.5,female,"0.14 [0.08, 0.2]",0.03,4.69,< 0.001,unadjusted
bpdiaz_w6.5,indig,"-0.05 [-0.25, 0.15]",0.1,-0.48,0.63,unadjusted
bpdiaz_w6.5,ses_w6,"-0.03 [-0.06, 0]",0.01,-2.16,0.031,unadjusted
bpdiaz_w6.5,bad_diet,"0.04 [-0.09, 0.17]",0.07,0.54,0.59,unadjusted
bpdiaz_w6.5,sexualmaturity_numeric_w6.5,"-0.08 [-0.11, -0.05]",0.01,-5.45,< 0.001,unadjusted
bpdiaz_w6.5,(Intercept),"0.06 [-0.1, 0.23]",0.09,0.74,0.46,adjusted
bpdiaz_w6.5,st_totalz_w3,"0.01 [-0.02, 0.04]",0.02,0.56,0.57,adjusted
bpdiaz_w6.5,female,"0.12 [0.04, 0.19]",0.04,3.09,0.002,adjusted
bpdiaz_w6.5,indig,"-0.08 [-0.37, 0.2]",0.14,-0.59,0.56,adjusted
bpdiaz_w6.5,ses_w6,"-0.03 [-0.07, 0]",0.02,-1.95,0.052,adjusted
bpdiaz_w6.5,bad_diet,"0.07 [-0.08, 0.21]",0.07,0.92,0.36,adjusted
bpdiaz_w6.5,sexualmaturity_numeric_w6.5,"-0.1 [-0.14, -0.07]",0.02,-5.5,< 0.001,adjusted
bpdiaz_w6.5,accmvpa_w6.5_scaled,"-0.05 [-0.09, 0]",0.02,-2.05,0.040,adjusted
bpdiaz_w6.5,accsed_w6.5_scaled,"0.02 [-0.02, 0.06]",0.02,0.99,0.32,adjusted
trigly_w6.5,(Intercept),"1.16 [0.97, 1.35]",0.1,11.93,< 0.001,unadjusted
trigly_w6.5,st_totalz_w3,"-0.01 [-0.05, 0.02]",0.02,-0.78,0.44,unadjusted
trigly_w6.5,female,"0.12 [0.05, 0.19]",0.04,3.27,0.001,unadjusted
trigly_w6.5,indig,"-0.05 [-0.42, 0.32]",0.19,-0.27,0.79,unadjusted
trigly_w6.5,ses_w6,"-0.06 [-0.09, -0.02]",0.02,-3.21,0.001,unadjusted
trigly_w6.5,bad_diet,"0.12 [-0.02, 0.26]",0.07,1.74,0.083,unadjusted
trigly_w6.5,sexualmaturity_numeric_w6.5,"0 [-0.04, 0.03]",0.02,0,1.00,unadjusted
trigly_w6.5,fastingtime_w6.5,"-0.04 [-0.07, -0.01]",0.01,-2.65,0.008,unadjusted
trigly_w6.5,(Intercept),"1.26 [1.04, 1.49]",0.11,11.03,< 0.001,adjusted
trigly_w6.5,st_totalz_w3,"-0.03 [-0.07, 0.01]",0.02,-1.33,0.18,adjusted
trigly_w6.5,female,"0.08 [-0.01, 0.17]",0.04,1.84,0.066,adjusted
trigly_w6.5,indig,"-0.05 [-0.49, 0.39]",0.22,-0.21,0.83,adjusted
trigly_w6.5,ses_w6,"-0.08 [-0.13, -0.04]",0.02,-3.88,< 0.001,adjusted
trigly_w6.5,bad_diet,"0.13 [-0.02, 0.29]",0.08,1.68,0.093,adjusted
trigly_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.07, 0.02]",0.02,-1.08,0.28,adjusted
trigly_w6.5,fastingtime_w6.5,"-0.05 [-0.08, -0.01]",0.02,-2.83,0.005,adjusted
trigly_w6.5,accmvpa_w6.5_scaled,"-0.07 [-0.12, -0.03]",0.03,-2.97,0.003,adjusted
trigly_w6.5,accsed_w6.5_scaled,"-0.02 [-0.07, 0.03]",0.02,-0.88,0.38,adjusted
cholesttotal_w6.5,(Intercept),"4.37 [4.12, 4.62]",0.13,34.32,< 0.001,unadjusted
cholesttotal_w6.5,st_totalz_w3,"-0.01 [-0.06, 0.03]",0.02,-0.59,0.55,unadjusted
cholesttotal_w6.5,female,"0.12 [0.03, 0.21]",0.05,2.58,0.010,unadjusted
cholesttotal_w6.5,indig,"0.03 [-0.46, 0.51]",0.25,0.11,0.91,unadjusted
cholesttotal_w6.5,ses_w6,"-0.02 [-0.06, 0.03]",0.02,-0.66,0.51,unadjusted
cholesttotal_w6.5,bad_diet,"-0.1 [-0.28, 0.08]",0.09,-1.09,0.27,unadjusted
cholesttotal_w6.5,sexualmaturity_numeric_w6.5,"-0.12 [-0.16, -0.07]",0.02,-5.07,< 0.001,unadjusted
cholesttotal_w6.5,fastingtime_w6.5,"0 [-0.03, 0.04]",0.02,0.22,0.83,unadjusted
cholesttotal_w6.5,(Intercept),"4.42 [4.12, 4.72]",0.15,29.19,< 0.001,adjusted
cholesttotal_w6.5,st_totalz_w3,"0 [-0.06, 0.05]",0.03,-0.17,0.87,adjusted
cholesttotal_w6.5,female,"0.13 [0.01, 0.24]",0.06,2.13,0.033,adjusted
cholesttotal_w6.5,indig,"-0.21 [-0.8, 0.37]",0.3,-0.72,0.47,adjusted
cholesttotal_w6.5,ses_w6,"-0.03 [-0.09, 0.02]",0.03,-1.17,0.24,adjusted
cholesttotal_w6.5,bad_diet,"0.01 [-0.2, 0.22]",0.11,0.08,0.93,adjusted
cholesttotal_w6.5,sexualmaturity_numeric_w6.5,"-0.14 [-0.2, -0.08]",0.03,-4.88,< 0.001,adjusted
cholesttotal_w6.5,fastingtime_w6.5,"-0.02 [-0.06, 0.02]",0.02,-0.95,0.34,adjusted
cholesttotal_w6.5,accmvpa_w6.5_scaled,"-0.05 [-0.11, 0.02]",0.03,-1.42,0.15,adjusted
cholesttotal_w6.5,accsed_w6.5_scaled,"0 [-0.06, 0.07]",0.03,0.14,0.89,adjusted
cholesttotalhdl_w6.5,(Intercept),"1.51 [1.41, 1.62]",0.05,28.91,< 0.001,unadjusted
cholesttotalhdl_w6.5,st_totalz_w3,"0 [-0.02, 0.02]",0.01,-0.41,0.68,unadjusted
cholesttotalhdl_w6.5,female,"-0.01 [-0.05, 0.03]",0.02,-0.44,0.66,unadjusted
cholesttotalhdl_w6.5,indig,"-0.01 [-0.21, 0.19]",0.1,-0.12,0.91,unadjusted
cholesttotalhdl_w6.5,ses_w6,"0.02 [0, 0.03]",0.01,1.61,0.11,unadjusted
