Outcome,Term,Coef,SE,t,p,type
pulsepressamp_w6.5,female,"0.01 [-0.03, 0.06]",0.02,0.55,0.58,adjusted
pulsepressamp_w6.5,indig,"-0.04 [-0.2, 0.12]",0.08,-0.49,0.62,adjusted
pulsepressamp_w6.5,ses_w6,"0.01 [-0.01, 0.03]",0.01,1.25,0.21,adjusted
pulsepressamp_w6.5,bad_diet,"0.07 [-0.01, 0.15]",0.04,1.64,0.10,adjusted
pulsepressamp_w6.5,sexualmaturity_numeric_w6.5,"0.03 [0.01, 0.05]",0.01,2.96,0.003,adjusted
pulsepressamp_w6.5,accmvpa_w6.5_scaled,"0.03 [0, 0.05]",0.01,1.96,0.050,adjusted
pulsepressamp_w6.5,accsed_w6.5_scaled,"0.01 [-0.02, 0.03]",0.01,0.54,0.59,adjusted
bpsysz_w6.5,(Intercept),"-0.01 [-0.21, 0.18]",0.1,-0.13,0.89,unadjusted
bpsysz_w6.5,st_earlyz,"0.05 [0.01, 0.1]",0.02,2.19,0.029,unadjusted
bpsysz_w6.5,female,"0.16 [0.07, 0.24]",0.04,3.69,< 0.001,unadjusted
bpsysz_w6.5,indig,"-0.02 [-0.3, 0.26]",0.14,-0.14,0.89,unadjusted
bpsysz_w6.5,ses_w6,"-0.06 [-0.1, -0.02]",0.02,-3.05,0.002,unadjusted
bpsysz_w6.5,bad_diet,"0.05 [-0.13, 0.23]",0.09,0.53,0.59,unadjusted
bpsysz_w6.5,sexualmaturity_numeric_w6.5,"0.01 [-0.04, 0.05]",0.02,0.24,0.81,unadjusted
bpsysz_w6.5,(Intercept),"-0.1 [-0.34, 0.13]",0.12,-0.85,0.39,adjusted
bpsysz_w6.5,st_earlyz,"0.05 [-0.01, 0.11]",0.03,1.61,0.11,adjusted
bpsysz_w6.5,female,"0.2 [0.1, 0.31]",0.05,3.78,< 0.001,adjusted
bpsysz_w6.5,indig,"-0.17 [-0.57, 0.23]",0.2,-0.85,0.40,adjusted
bpsysz_w6.5,ses_w6,"-0.06 [-0.11, -0.01]",0.02,-2.4,0.016,adjusted
bpsysz_w6.5,bad_diet,"0.17 [-0.03, 0.38]",0.1,1.67,0.095,adjusted
bpsysz_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.07, 0.03]",0.03,-0.7,0.49,adjusted
bpsysz_w6.5,accmvpa_w6.5_scaled,"0 [-0.06, 0.06]",0.03,0.06,0.95,adjusted
bpsysz_w6.5,accsed_w6.5_scaled,"0.02 [-0.04, 0.08]",0.03,0.67,0.50,adjusted
bpdiaz_w6.5,(Intercept),"0.05 [-0.09, 0.19]",0.07,0.74,0.46,unadjusted
bpdiaz_w6.5,st_earlyz,"0.05 [0.01, 0.08]",0.02,2.77,0.006,unadjusted
bpdiaz_w6.5,female,"0.15 [0.09, 0.21]",0.03,4.97,< 0.001,unadjusted
bpdiaz_w6.5,indig,"-0.06 [-0.26, 0.14]",0.1,-0.61,0.54,unadjusted
bpdiaz_w6.5,ses_w6,"-0.03 [-0.05, 0]",0.01,-1.81,0.070,unadjusted
bpdiaz_w6.5,bad_diet,"0.03 [-0.1, 0.15]",0.06,0.43,0.67,unadjusted
bpdiaz_w6.5,sexualmaturity_numeric_w6.5,"-0.08 [-0.11, -0.05]",0.01,-5.58,< 0.001,unadjusted
bpdiaz_w6.5,(Intercept),"0.07 [-0.1, 0.24]",0.08,0.83,0.41,adjusted
bpdiaz_w6.5,st_earlyz,"0.03 [-0.01, 0.07]",0.02,1.48,0.14,adjusted
bpdiaz_w6.5,female,"0.13 [0.05, 0.2]",0.04,3.37,< 0.001,adjusted
bpdiaz_w6.5,indig,"-0.09 [-0.37, 0.19]",0.14,-0.62,0.54,adjusted
bpdiaz_w6.5,ses_w6,"-0.03 [-0.06, 0.01]",0.02,-1.5,0.13,adjusted
bpdiaz_w6.5,bad_diet,"0.06 [-0.08, 0.21]",0.07,0.88,0.38,adjusted
bpdiaz_w6.5,sexualmaturity_numeric_w6.5,"-0.1 [-0.14, -0.07]",0.02,-5.7,< 0.001,adjusted
bpdiaz_w6.5,accmvpa_w6.5_scaled,"-0.05 [-0.09, -0.01]",0.02,-2.29,0.022,adjusted
bpdiaz_w6.5,accsed_w6.5_scaled,"0.01 [-0.03, 0.05]",0.02,0.58,0.56,adjusted
trigly_w6.5,(Intercept),"1.18 [0.99, 1.37]",0.1,12.09,< 0.001,unadjusted
trigly_w6.5,st_earlyz,"0 [-0.04, 0.05]",0.02,0.21,0.83,unadjusted
trigly_w6.5,female,"0.12 [0.04, 0.19]",0.04,3.21,0.001,unadjusted
trigly_w6.5,indig,"-0.06 [-0.43, 0.31]",0.19,-0.31,0.76,unadjusted
trigly_w6.5,ses_w6,"-0.06 [-0.09, -0.02]",0.02,-3.27,0.001,unadjusted
trigly_w6.5,bad_diet,"0.12 [-0.02, 0.25]",0.07,1.69,0.091,unadjusted
trigly_w6.5,sexualmaturity_numeric_w6.5,"0 [-0.04, 0.03]",0.02,-0.21,0.84,unadjusted
trigly_w6.5,fastingtime_w6.5,"-0.04 [-0.06, -0.01]",0.01,-2.56,0.011,unadjusted
trigly_w6.5,(Intercept),"1.25 [1.03, 1.48]",0.11,10.92,< 0.001,adjusted
trigly_w6.5,st_earlyz,"0 [-0.06, 0.05]",0.03,-0.18,0.86,adjusted
trigly_w6.5,female,"0.08 [0, 0.17]",0.05,1.86,0.064,adjusted
trigly_w6.5,indig,"-0.07 [-0.51, 0.37]",0.22,-0.32,0.75,adjusted
trigly_w6.5,ses_w6,"-0.08 [-0.12, -0.04]",0.02,-3.59,< 0.001,adjusted
trigly_w6.5,bad_diet,"0.14 [-0.02, 0.29]",0.08,1.72,0.086,adjusted
trigly_w6.5,sexualmaturity_numeric_w6.5,"-0.02 [-0.07, 0.02]",0.02,-1.14,0.25,adjusted
trigly_w6.5,fastingtime_w6.5,"-0.04 [-0.07, -0.01]",0.02,-2.6,0.009,adjusted
trigly_w6.5,accmvpa_w6.5_scaled,"-0.08 [-0.12, -0.03]",0.03,-2.99,0.003,adjusted
trigly_w6.5,accsed_w6.5_scaled,"-0.02 [-0.07, 0.03]",0.03,-0.96,0.34,adjusted
cholesttotal_w6.5,(Intercept),"4.35 [4.1, 4.6]",0.13,34.48,< 0.001,unadjusted
cholesttotal_w6.5,st_earlyz,"-0.04 [-0.09, 0.02]",0.03,-1.29,0.20,unadjusted
cholesttotal_w6.5,female,"0.12 [0.03, 0.21]",0.05,2.5,0.013,unadjusted
cholesttotal_w6.5,indig,"0.02 [-0.46, 0.51]",0.25,0.09,0.93,unadjusted
cholesttotal_w6.5,ses_w6,"-0.02 [-0.07, 0.02]",0.02,-1.01,0.31,unadjusted
cholesttotal_w6.5,bad_diet,"-0.08 [-0.26, 0.09]",0.09,-0.91,0.36,unadjusted
cholesttotal_w6.5,sexualmaturity_numeric_w6.5,"-0.12 [-0.16, -0.07]",0.02,-5.13,< 0.001,unadjusted
cholesttotal_w6.5,fastingtime_w6.5,"0 [-0.03, 0.04]",0.02,0.24,0.81,unadjusted
cholesttotal_w6.5,(Intercept),"4.41 [4.11, 4.7]",0.15,29.21,< 0.001,adjusted
cholesttotal_w6.5,st_earlyz,"-0.03 [-0.09, 0.04]",0.03,-0.78,0.44,adjusted
cholesttotal_w6.5,female,"0.12 [0, 0.24]",0.06,2.01,0.044,adjusted
cholesttotal_w6.5,indig,"-0.21 [-0.79, 0.37]",0.3,-0.73,0.47,adjusted
cholesttotal_w6.5,ses_w6,"-0.04 [-0.1, 0.02]",0.03,-1.39,0.16,adjusted
cholesttotal_w6.5,bad_diet,"0.01 [-0.2, 0.21]",0.1,0.08,0.93,adjusted
cholesttotal_w6.5,sexualmaturity_numeric_w6.5,"-0.14 [-0.19, -0.08]",0.03,-4.84,< 0.001,adjusted
cholesttotal_w6.5,fastingtime_w6.5,"-0.02 [-0.06, 0.02]",0.02,-0.88,0.38,adjusted
cholesttotal_w6.5,accmvpa_w6.5_scaled,"-0.05 [-0.11, 0.02]",0.03,-1.42,0.16,adjusted
cholesttotal_w6.5,accsed_w6.5_scaled,"0.01 [-0.06, 0.07]",0.03,0.26,0.80,adjusted
cholesttotalhdl_w6.5,(Intercept),"1.51 [1.41, 1.61]",0.05,29.06,< 0.001,unadjusted
cholesttotalhdl_w6.5,st_earlyz,"-0.01 [-0.04, 0.01]",0.01,-1.18,0.24,unadjusted
