Outcome,Term,Coef,SE,z,p,type
waist2height_w6.5,bad_diet,"0 [-0.01, 0.01]",0,0.19,0.85,unadjusted
waist2height_w6.5,sexualmaturity_numeric_w6.5,"0 [0, 0]",0,1.69,0.090,unadjusted
waist2height_w6.5,st_intercept,"0.01 [0.01, 0.02]",0,4.35,< 0.001,adjusted
waist2height_w6.5,st_slope,"0.01 [-0.01, 0.03]",0.01,0.71,0.48,adjusted
waist2height_w6.5,female,"-0.01 [-0.02, -0.01]",0,-4.06,< 0.001,adjusted
waist2height_w6.5,indig,"0 [-0.03, 0.02]",0.01,-0.37,0.71,adjusted
waist2height_w6.5,ses_w6,"0 [-0.01, 0]",0,-2.03,0.043,adjusted
waist2height_w6.5,bad_diet,"0 [-0.01, 0.01]",0,0.29,0.77,adjusted
waist2height_w6.5,sexualmaturity_numeric_w6.5,"0 [0, 0]",0,-0.14,0.89,adjusted
waist2height_w6.5,accmvpa_w6.5_scaled,"-0.01 [-0.01, 0]",0,-3.78,< 0.001,adjusted
waist2height_w6.5,accsed_w6.5_scaled,"0 [-0.01, 0]",0,-0.86,0.39,adjusted
bmiz_w6.5,st_intercept,"0.17 [0.07, 0.28]",0.05,3.32,< 0.001,unadjusted
bmiz_w6.5,st_slope,"0.31 [-0.03, 0.64]",0.17,1.81,0.071,unadjusted
bmiz_w6.5,female,"-0.14 [-0.25, -0.04]",0.05,-2.67,0.008,unadjusted
bmiz_w6.5,indig,"0.01 [-0.34, 0.36]",0.18,0.07,0.95,unadjusted
bmiz_w6.5,ses_w6,"-0.05 [-0.1, 0.01]",0.03,-1.77,0.077,unadjusted
bmiz_w6.5,bad_diet,"-0.13 [-0.27, 0.01]",0.07,-1.75,0.079,unadjusted
bmiz_w6.5,sexualmaturity_numeric_w6.5,"0.26 [0.21, 0.31]",0.03,10.06,< 0.001,unadjusted
bmiz_w6.5,st_intercept,"0.23 [0.11, 0.35]",0.06,3.73,< 0.001,adjusted
bmiz_w6.5,st_slope,"0.2 [-0.23, 0.63]",0.22,0.9,0.37,adjusted
bmiz_w6.5,female,"-0.23 [-0.37, -0.1]",0.07,-3.37,< 0.001,adjusted
bmiz_w6.5,indig,"-0.08 [-0.58, 0.42]",0.25,-0.32,0.75,adjusted
bmiz_w6.5,ses_w6,"-0.03 [-0.09, 0.03]",0.03,-0.95,0.34,adjusted
bmiz_w6.5,bad_diet,"-0.1 [-0.27, 0.06]",0.09,-1.22,0.22,adjusted
bmiz_w6.5,sexualmaturity_numeric_w6.5,"0.22 [0.16, 0.28]",0.03,6.71,< 0.001,adjusted
bmiz_w6.5,accmvpa_w6.5_scaled,"-0.17 [-0.25, -0.1]",0.04,-4.52,< 0.001,adjusted
bmiz_w6.5,accsed_w6.5_scaled,"-0.07 [-0.14, 0]",0.04,-1.86,0.062,adjusted
bodyfat_w6.5,st_intercept,"1.89 [1.01, 2.77]",0.45,4.23,< 0.001,unadjusted
bodyfat_w6.5,st_slope,"2.88 [0.06, 5.7]",1.44,2,0.045,unadjusted
bodyfat_w6.5,female,"3.06 [2.15, 3.96]",0.46,6.62,< 0.001,unadjusted
bodyfat_w6.5,indig,"-0.07 [-3.06, 2.93]",1.53,-0.04,0.97,unadjusted
