Outcome,Term,Coef,SE,t,p,type
vo2_w6.5,st_latez,"-1.12 [-1.82, -0.42]",0.35,-3.16,0.002,adjusted
vo2_w6.5,female,"-2.86 [-4.35, -1.37]",0.76,-3.77,< 0.001,adjusted
vo2_w6.5,indig,"-3.63 [-9.68, 2.42]",3.08,-1.18,0.24,adjusted
vo2_w6.5,ses_w6,"0.32 [-0.36, 1.01]",0.35,0.93,0.35,adjusted
vo2_w6.5,bad_diet,"-2.4 [-5.14, 0.33]",1.39,-1.72,0.085,adjusted
vo2_w6.5,sexualmaturity_numeric_w6.5,"-0.72 [-1.47, 0.02]",0.38,-1.91,0.056,adjusted
vo2_w6.5,accmvpa_w6.5_scaled,"3.33 [2.48, 4.18]",0.43,7.66,< 0.001,adjusted
vo2_w6.5,accsed_w6.5_scaled,"0.39 [-0.43, 1.2]",0.42,0.93,0.35,adjusted
waistcm_w6.5,(Intercept),"61.74 [59.72, 63.76]",1.03,60,< 0.001,unadjusted
waistcm_w6.5,st_latez,"0.7 [0.32, 1.08]",0.19,3.6,< 0.001,unadjusted
waistcm_w6.5,female,"-3.37 [-4.22, -2.53]",0.43,-7.83,< 0.001,unadjusted
waistcm_w6.5,indig,"0.05 [-2.81, 2.91]",1.46,0.04,0.97,unadjusted
waistcm_w6.5,ses_w6,"-0.69 [-1.09, -0.29]",0.2,-3.38,< 0.001,unadjusted
waistcm_w6.5,bad_diet,"0.27 [-1.54, 2.09]",0.93,0.29,0.77,unadjusted
waistcm_w6.5,sexualmaturity_numeric_w6.5,"2.27 [1.86, 2.69]",0.21,10.64,< 0.001,unadjusted
waistcm_w6.5,(Intercept),"62.6 [60.22, 64.97]",1.21,51.71,< 0.001,adjusted
waistcm_w6.5,st_latez,"0.51 [0.03, 1]",0.25,2.07,0.038,adjusted
waistcm_w6.5,female,"-4.41 [-5.48, -3.35]",0.54,-8.13,< 0.001,adjusted
waistcm_w6.5,indig,"0.23 [-3.67, 4.13]",1.99,0.12,0.91,adjusted
waistcm_w6.5,ses_w6,"-0.78 [-1.26, -0.3]",0.25,-3.17,0.002,adjusted
waistcm_w6.5,bad_diet,"0.97 [-1.09, 3.04]",1.05,0.92,0.36,adjusted
waistcm_w6.5,sexualmaturity_numeric_w6.5,"1.84 [1.32, 2.36]",0.26,6.97,< 0.001,adjusted
waistcm_w6.5,accmvpa_w6.5_scaled,"-1.54 [-2.15, -0.92]",0.31,-4.92,< 0.001,adjusted
waistcm_w6.5,accsed_w6.5_scaled,"-0.3 [-0.89, 0.29]",0.3,-1.01,0.31,adjusted
waist2height_w6.5,(Intercept),"0.42 [0.41, 0.44]",0.01,66.51,< 0.001,unadjusted
waist2height_w6.5,st_latez,"0 [0, 0.01]",0,3.93,< 0.001,unadjusted
waist2height_w6.5,female,"-0.01 [-0.02, -0.01]",0,-4.61,< 0.001,unadjusted
waist2height_w6.5,indig,"0 [-0.02, 0.02]",0.01,-0.25,0.80,unadjusted
waist2height_w6.5,ses_w6,"-0.01 [-0.01, 0]",0,-4.07,< 0.001,unadjusted
waist2height_w6.5,bad_diet,"0 [-0.01, 0.02]",0.01,0.78,0.44,unadjusted
waist2height_w6.5,sexualmaturity_numeric_w6.5,"0 [0, 0]",0,1.73,0.084,unadjusted
waist2height_w6.5,(Intercept),"0.43 [0.41, 0.44]",0.01,57.41,< 0.001,adjusted
waist2height_w6.5,st_latez,"0 [0, 0.01]",0,2.42,0.016,adjusted
waist2height_w6.5,female,"-0.02 [-0.02, -0.01]",0,-4.91,< 0.001,adjusted
waist2height_w6.5,indig,"0 [-0.03, 0.02]",0.01,-0.12,0.90,adjusted
waist2height_w6.5,ses_w6,"-0.01 [-0.01, 0]",0,-3.44,< 0.001,adjusted
waist2height_w6.5,bad_diet,"0.01 [0, 0.02]",0.01,1.39,0.16,adjusted
waist2height_w6.5,sexualmaturity_numeric_w6.5,"0 [0, 0]",0,0.02,0.99,adjusted
waist2height_w6.5,accmvpa_w6.5_scaled,"-0.01 [-0.01, 0]",0,-3.59,< 0.001,adjusted
waist2height_w6.5,accsed_w6.5_scaled,"0 [-0.01, 0]",0,-0.77,0.44,adjusted
bmiz_w6.5,(Intercept),"-0.34 [-0.59, -0.08]",0.13,-2.59,0.010,unadjusted
bmiz_w6.5,st_latez,"0.07 [0.02, 0.12]",0.02,2.89,0.004,unadjusted
bmiz_w6.5,female,"-0.19 [-0.3, -0.09]",0.05,-3.56,< 0.001,unadjusted
bmiz_w6.5,indig,"0.11 [-0.24, 0.46]",0.18,0.61,0.54,unadjusted
bmiz_w6.5,ses_w6,"-0.07 [-0.12, -0.02]",0.03,-2.85,0.004,unadjusted
bmiz_w6.5,bad_diet,"0.08 [-0.15, 0.31]",0.12,0.71,0.48,unadjusted
bmiz_w6.5,sexualmaturity_numeric_w6.5,"0.27 [0.21, 0.32]",0.03,9.94,< 0.001,unadjusted
bmiz_w6.5,(Intercept),"-0.26 [-0.57, 0.04]",0.15,-1.71,0.088,adjusted
bmiz_w6.5,st_latez,"0.06 [-0.01, 0.12]",0.03,1.76,0.079,adjusted
bmiz_w6.5,female,"-0.3 [-0.44, -0.17]",0.07,-4.37,< 0.001,adjusted
bmiz_w6.5,indig,"-0.02 [-0.51, 0.48]",0.25,-0.07,0.95,adjusted
bmiz_w6.5,ses_w6,"-0.08 [-0.14, -0.01]",0.03,-2.41,0.016,adjusted
bmiz_w6.5,bad_diet,"0.16 [-0.1, 0.42]",0.13,1.2,0.23,adjusted
bmiz_w6.5,sexualmaturity_numeric_w6.5,"0.22 [0.16, 0.29]",0.03,6.69,< 0.001,adjusted
bmiz_w6.5,accmvpa_w6.5_scaled,"-0.18 [-0.25, -0.1]",0.04,-4.42,< 0.001,adjusted
bmiz_w6.5,accsed_w6.5_scaled,"-0.07 [-0.14, 0.01]",0.04,-1.8,0.072,adjusted
bodyfat_w6.5,(Intercept),"17.32 [15.15, 19.49]",1.11,15.64,< 0.001,unadjusted
bodyfat_w6.5,st_latez,"0.78 [0.37, 1.19]",0.21,3.75,< 0.001,unadjusted
bodyfat_w6.5,female,"2.72 [1.81, 3.63]",0.46,5.88,< 0.001,unadjusted
bodyfat_w6.5,indig,"0.78 [-2.24, 3.81]",1.54,0.51,0.61,unadjusted
bodyfat_w6.5,ses_w6,"-0.94 [-1.36, -0.51]",0.22,-4.28,< 0.001,unadjusted
bodyfat_w6.5,bad_diet,"1.35 [-0.61, 3.3]",1,1.35,0.18,unadjusted
bodyfat_w6.5,sexualmaturity_numeric_w6.5,"0.61 [0.16, 1.06]",0.23,2.66,0.008,unadjusted
bodyfat_w6.5,(Intercept),"19.31 [16.81, 21.81]",1.27,15.16,< 0.001,adjusted
bodyfat_w6.5,st_latez,"0.62 [0.11, 1.13]",0.26,2.37,0.018,adjusted
bodyfat_w6.5,female,"1.52 [0.4, 2.64]",0.57,2.66,0.008,adjusted
bodyfat_w6.5,indig,"0.41 [-3.69, 4.51]",2.09,0.2,0.85,adjusted
bodyfat_w6.5,ses_w6,"-0.9 [-1.4, -0.39]",0.26,-3.46,< 0.001,adjusted
bodyfat_w6.5,bad_diet,"1.63 [-0.54, 3.8]",1.11,1.47,0.14,adjusted
bodyfat_w6.5,sexualmaturity_numeric_w6.5,"-0.09 [-0.63, 0.46]",0.28,-0.32,0.75,adjusted
bodyfat_w6.5,accmvpa_w6.5_scaled,"-2.42 [-3.06, -1.77]",0.33,-7.34,< 0.001,adjusted
bodyfat_w6.5,accsed_w6.5_scaled,"-0.43 [-1.06, 0.19]",0.32,-1.37,0.17,adjusted
bpsysamp_w6.5,(Intercept),"15.14 [14.31, 15.98]",0.42,35.71,< 0.001,unadjusted
bpsysamp_w6.5,st_latez,"-0.04 [-0.19, 0.11]",0.08,-0.49,0.63,unadjusted
bpsysamp_w6.5,female,"-0.93 [-1.27, -0.59]",0.17,-5.4,< 0.001,unadjusted
bpsysamp_w6.5,indig,"-0.06 [-1.18, 1.05]",0.57,-0.11,0.91,unadjusted
bpsysamp_w6.5,ses_w6,"-0.04 [-0.2, 0.12]",0.08,-0.5,0.62,unadjusted
bpsysamp_w6.5,bad_diet,"-0.15 [-0.9, 0.6]",0.38,-0.39,0.69,unadjusted
bpsysamp_w6.5,sexualmaturity_numeric_w6.5,"0.4 [0.23, 0.57]",0.09,4.66,< 0.001,unadjusted
bpsysamp_w6.5,(Intercept),"14.65 [13.68, 15.62]",0.5,29.56,< 0.001,adjusted
bpsysamp_w6.5,st_latez,"0.01 [-0.18, 0.21]",0.1,0.11,0.91,adjusted
bpsysamp_w6.5,female,"-0.69 [-1.12, -0.26]",0.22,-3.15,0.002,adjusted
bpsysamp_w6.5,indig,"-0.26 [-1.84, 1.31]",0.8,-0.33,0.74,adjusted
bpsysamp_w6.5,ses_w6,"-0.01 [-0.2, 0.19]",0.1,-0.08,0.94,adjusted
bpsysamp_w6.5,bad_diet,"0.29 [-0.56, 1.13]",0.43,0.66,0.51,adjusted
bpsysamp_w6.5,sexualmaturity_numeric_w6.5,"0.39 [0.18, 0.6]",0.11,3.69,< 0.001,adjusted
bpsysamp_w6.5,accmvpa_w6.5_scaled,"0.28 [0.03, 0.53]",0.13,2.16,0.031,adjusted
bpsysamp_w6.5,accsed_w6.5_scaled,"-0.03 [-0.27, 0.21]",0.12,-0.24,0.81,adjusted
pulsepressamp_w6.5,(Intercept),"1.34 [1.26, 1.42]",0.04,32.11,< 0.001,unadjusted
pulsepressamp_w6.5,st_latez,"-0.02 [-0.03, 0]",0.01,-2.19,0.028,unadjusted
pulsepressamp_w6.5,female,"-0.01 [-0.04, 0.02]",0.02,-0.56,0.58,unadjusted
pulsepressamp_w6.5,indig,"-0.02 [-0.13, 0.1]",0.06,-0.3,0.77,unadjusted
pulsepressamp_w6.5,ses_w6,"0.01 [-0.01, 0.03]",0.01,1.35,0.18,unadjusted
pulsepressamp_w6.5,bad_diet,"0.02 [-0.06, 0.09]",0.04,0.43,0.67,unadjusted
pulsepressamp_w6.5,sexualmaturity_numeric_w6.5,"0.02 [0.01, 0.04]",0.01,2.65,0.008,unadjusted
pulsepressamp_w6.5,(Intercept),"1.24 [1.14, 1.34]",0.05,24.9,< 0.001,adjusted
pulsepressamp_w6.5,st_latez,"-0.01 [-0.03, 0.01]",0.01,-0.96,0.34,adjusted
pulsepressamp_w6.5,female,"0.01 [-0.03, 0.06]",0.02,0.51,0.61,adjusted
pulsepressamp_w6.5,indig,"-0.04 [-0.2, 0.12]",0.08,-0.54,0.59,adjusted
pulsepressamp_w6.5,ses_w6,"0.01 [-0.01, 0.03]",0.01,1.05,0.29,adjusted
